,time,drug,neuron-trial,tuning,firing_rate
0,0.0,GFC,3000,strong,59.192339423470735
1,0.01,GFC,3000,strong,73.72834617438141
2,0.02,GFC,3000,strong,88.82909990724848
3,0.03,GFC,3000,strong,103.59955843691588
4,0.04,GFC,3000,strong,117.0458573716392
5,0.05,GFC,3000,strong,128.18289954502265
6,0.06,GFC,3000,strong,136.14764556911203
7,0.07,GFC,3000,strong,140.30098920243518
8,0.08,GFC,3000,strong,140.3039743823849
9,0.09,GFC,3000,strong,136.15874554084448
10,0.1,GFC,3000,strong,128.20966559017577
11,0.11,GFC,3000,strong,117.10493539861646
12,0.12,GFC,3000,strong,103.72394213724705
13,0.13,GFC,3000,strong,89.08055709130599
14,0.14,GFC,3000,strong,74.21705604622514
15,0.15,GFC,3000,strong,60.105772494914454
16,0.16,GFC,3000,strong,47.57440548936757
17,0.17,GFC,3000,strong,37.2654139822881
18,0.18,GFC,3000,strong,29.631136418651757
19,0.19,GFC,3000,strong,24.956754379770867
20,0.2,GFC,3000,strong,23.39619057611086
21,0.21,GFC,3000,strong,25.004043793196665
22,0.22,GFC,3000,strong,29.75053162472473
23,0.23,GFC,3000,strong,37.51484299593227
24,0.24,GFC,3000,strong,48.062323101392835
25,0.25,GFC,3000,strong,61.01890822245484
26,0.26,GFC,3000,strong,75.85922438979819
27,0.27,GFC,3000,strong,91.92153463837406
28,0.28,GFC,3000,strong,108.45430538027291
29,0.29,GFC,3000,strong,124.68856383970623
30,0.3,GFC,3000,strong,139.92129196425674
31,0.31,GFC,3000,strong,153.5910527653033
32,0.32,GFC,3000,strong,165.32915601258102
33,0.33,GFC,3000,strong,174.9768579378511
34,0.34,GFC,3000,strong,182.56848896148375
35,0.35000000000000003,GFC,3000,strong,188.28867203810907
36,0.36,GFC,3000,strong,192.41647550715146
37,0.37,GFC,3000,strong,195.26966074723487
38,0.38,GFC,3000,strong,197.15899673106276
39,0.39,GFC,3000,strong,198.35772836910633
40,0.4,GFC,3000,strong,199.08656799867072
41,0.41000000000000003,GFC,3000,strong,199.51128685613244
42,0.42,GFC,3000,strong,199.7485296590691
43,0.43,GFC,3000,strong,199.87557821258176
44,0.44,GFC,3000,strong,199.94081473106795
45,0.45,GFC,3000,strong,199.97293646588275
46,0.46,GFC,3000,strong,199.98810413766884
47,0.47000000000000003,GFC,3000,strong,199.99497339100094
48,0.48,GFC,3000,strong,199.99795857087088
49,0.49,GFC,3000,strong,199.99920410896414
50,0.5,GFC,3000,strong,199.9997025092078
51,0.51,GFC,3000,strong,199.99989275077365
52,0.52,GFC,3000,strong,199.99996188513353
