,time,drug,wm,output,correct,trial
0,0.0,GFC,0.0001843108016706175,-0.503795043416934,0,3
1,0.01,GFC,0.01260675353536903,-0.38960240138111146,0,3
2,0.02,GFC,0.0008419419317660165,0.6803916926935556,1,3
3,0.03,GFC,0.003060881875585003,-0.13787046866337016,0,3
4,0.04,GFC,0.0037268727943214957,-0.6285714731493344,0,3
5,0.05,GFC,0.0066046024724371695,0.15131681334327873,1,3
6,0.06,GFC,0.0030545754472553963,0.12059420957719703,1,3
7,0.07,GFC,0.005369538079371643,0.6881827662133937,1,3
8,0.08,GFC,0.005186482351756109,-0.2862245265328515,0,3
9,0.09,GFC,0.009778651817242,-0.17341914245184703,0,3
10,0.1,GFC,0.008062846953574728,-0.0593248355634018,0,3
11,0.11,GFC,0.004066437688610502,-0.5710731701555769,0,3
12,0.12,GFC,0.010003777360436844,0.10040198629112518,1,3
13,0.13,GFC,0.009471176978197484,-0.29787508318577727,0,3
14,0.14,GFC,0.0023842924993630415,0.015661251845614815,1,3
15,0.15,GFC,0.0017524811163984067,0.5852563910665318,1,3
16,0.16,GFC,0.011258015348162809,-0.7418888989780288,0,3
17,0.17,GFC,0.0027325632955702878,-0.28749404241789955,0,3
18,0.18,GFC,0.017970794696066113,-0.1944076112167013,0,3
19,0.19,GFC,0.006355721607288676,0.5700795040162187,1,3
20,0.2,GFC,0.00620062833036762,0.11729701273572077,1,3
21,0.21,GFC,0.008156124460002127,-1.0765414090127856,0,3
22,0.22,GFC,0.0008756663394954628,-0.6518921769185378,0,3
23,0.23,GFC,0.001597006688769713,-0.4005881678472074,0,3
24,0.24,GFC,0.009077113881958783,-0.5869075701208442,0,3
25,0.25,GFC,0.015529685932342576,0.3742598830214994,1,3
26,0.26,GFC,0.004285920775458234,0.2875715163880731,1,3
27,0.27,GFC,0.005776702314612114,0.3057569220633852,1,3
28,0.28,GFC,0.006610474506847583,-0.44966480175293244,0,3
29,0.29,GFC,0.013600725372737729,-0.017194450649094,0,3
30,0.3,GFC,0.010206613977535773,-0.3947445176482781,0,3
31,0.31,GFC,0.012871234201286327,-0.1862318282468105,0,3
32,0.32,GFC,0.007360229523392775,0.6434464292297161,1,3
33,0.33,GFC,0.01845285770742964,0.25028850630821825,1,3
34,0.34,GFC,0.013239245155633121,-0.9421249102182457,0,3
35,0.35000000000000003,GFC,0.012202959545746475,-1.0416238877321284,0,3
36,0.36,GFC,0.010066675866627206,-1.164806231376477,0,3
37,0.37,GFC,0.013506721896753462,0.35341556716949635,1,3
38,0.38,GFC,0.015790323735497453,0.2990178701729108,1,3
39,0.39,GFC,0.01143950210921413,0.6307951405538268,1,3
40,0.4,GFC,0.006646319194887664,0.49000063732821697,1,3
41,0.41000000000000003,GFC,0.011151759954323402,0.20210841616127193,1,3
